"","X","hour","temperature","Date","Year","month","day","Day.Of.Week","Weekday","PeakHour","kWh"
"86",86,7,63,"2016-06-17",2016,6,17,4,1,1,107.170377207944
"87",87,8,65,"2016-06-17",2016,6,17,4,1,1,107.170377207944
"88",88,9,66,"2016-06-17",2016,6,17,4,1,1,107.170377207944
"89",89,10,67,"2016-06-17",2016,6,17,4,1,1,107.170377207944
"90",90,11,67,"2016-06-17",2016,6,17,4,1,1,107.170377207944
"91",91,12,67,"2016-06-17",2016,6,17,4,1,1,107.170377207944
"92",92,13,68,"2016-06-17",2016,6,17,4,1,1,107.170377207944
"93",93,14,67,"2016-06-17",2016,6,17,4,1,1,107.170377207944
"94",94,15,67,"2016-06-17",2016,6,17,4,1,1,107.170377207944
"95",95,16,67,"2016-06-17",2016,6,17,4,1,1,107.170377207944
"96",96,17,67,"2016-06-17",2016,6,17,4,1,1,107.170377207944
"97",97,18,66,"2016-06-17",2016,6,17,4,1,1,107.170377207944
"98",98,19,64,"2016-06-17",2016,6,17,4,1,1,107.170377207944
"99",99,20,63,"2016-06-17",2016,6,17,4,1,0,107.170377207944
"100",100,21,61,"2016-06-17",2016,6,17,4,1,0,107.170377207944
"101",101,22,59,"2016-06-17",2016,6,17,4,1,0,107.170377207944
"102",102,23,59,"2016-06-17",2016,6,17,4,1,0,107.170377207944
"103",103,0,58,"2016-06-18",2016,6,18,5,0,0,107.170377207944
"104",104,1,58,"2016-06-18",2016,6,18,5,0,0,107.170377207944
"105",105,2,58,"2016-06-18",2016,6,18,5,0,0,107.170377207944
"106",106,3,57,"2016-06-18",2016,6,18,5,0,0,107.170377207944
"107",107,4,57,"2016-06-18",2016,6,18,5,0,0,107.170377207944
"108",108,5,57,"2016-06-18",2016,6,18,5,0,0,107.170377207944
"109",109,6,58,"2016-06-18",2016,6,18,5,0,0,107.170377207944
"110",110,7,60,"2016-06-18",2016,6,18,5,0,1,107.170377207944
"111",111,8,63,"2016-06-18",2016,6,18,5,0,1,107.170377207944
"112",112,9,64,"2016-06-18",2016,6,18,5,0,1,107.170377207944
"113",113,10,66,"2016-06-18",2016,6,18,5,0,1,107.170377207944
"114",114,11,67,"2016-06-18",2016,6,18,5,0,1,107.170377207944
"115",115,12,67,"2016-06-18",2016,6,18,5,0,1,107.170377207944
"116",116,13,68,"2016-06-18",2016,6,18,5,0,1,107.170377207944
"117",117,14,68,"2016-06-18",2016,6,18,5,0,1,107.170377207944
"118",118,15,69,"2016-06-18",2016,6,18,5,0,1,107.170377207944
"119",119,16,69,"2016-06-18",2016,6,18,5,0,1,107.170377207944
"120",120,17,69,"2016-06-18",2016,6,18,5,0,1,107.170377207944
"121",121,18,67,"2016-06-18",2016,6,18,5,0,1,107.170377207944
"122",122,19,65,"2016-06-18",2016,6,18,5,0,1,107.170377207944
"123",123,20,63,"2016-06-18",2016,6,18,5,0,0,107.170377207944
"124",124,21,62,"2016-06-18",2016,6,18,5,0,0,107.170377207944
"125",125,22,61,"2016-06-18",2016,6,18,5,0,0,107.170377207944
"126",126,23,61,"2016-06-18",2016,6,18,5,0,0,107.170377207944
"127",127,0,60,"2016-06-19",2016,6,19,6,0,0,107.170377207944
"128",128,1,60,"2016-06-19",2016,6,19,6,0,0,107.170377207944
"129",129,2,59,"2016-06-19",2016,6,19,6,0,0,107.170377207944
"130",130,3,58,"2016-06-19",2016,6,19,6,0,0,107.170377207944
"131",131,4,57,"2016-06-19",2016,6,19,6,0,0,107.170377207944
"132",132,5,56,"2016-06-19",2016,6,19,6,0,0,107.170377207944
"133",133,6,57,"2016-06-19",2016,6,19,6,0,0,107.170377207944
"134",134,7,60,"2016-06-19",2016,6,19,6,0,1,107.170377207944
"135",135,8,63,"2016-06-19",2016,6,19,6,0,1,107.170377207944
"136",136,9,66,"2016-06-19",2016,6,19,6,0,1,107.170377207944
"137",137,10,68,"2016-06-19",2016,6,19,6,0,1,107.170377207944
"138",138,11,70,"2016-06-19",2016,6,19,6,0,1,107.170377207944
"139",139,12,71,"2016-06-19",2016,6,19,6,0,1,107.170377207944
"140",140,13,70,"2016-06-19",2016,6,19,6,0,1,107.170377207944
"141",141,14,69,"2016-06-19",2016,6,19,6,0,1,107.170377207944
"142",142,15,69,"2016-06-19",2016,6,19,6,0,1,107.170377207944
"143",143,16,68,"2016-06-19",2016,6,19,6,0,1,107.170377207944
"144",144,17,68,"2016-06-19",2016,6,19,6,0,1,107.170377207944
"145",145,18,66,"2016-06-19",2016,6,19,6,0,1,107.170377207944
"146",146,19,65,"2016-06-19",2016,6,19,6,0,1,107.170377207944
"147",147,20,62,"2016-06-19",2016,6,19,6,0,0,107.170377207944
"148",148,21,62,"2016-06-19",2016,6,19,6,0,0,107.170377207944
"149",149,22,62,"2016-06-19",2016,6,19,6,0,0,107.170377207944
