"","x"
"1",111.011291464348
"2",109.672582136953
"3",106.841151418461
"4",105.502442091066
"5",104.163732763672
"6",102.825023436277
"7",99.6950484395649
"8",151.874223490083
"9",155.312222614202
"10",160.840031685859
"11",159.501322358465
"12",161.446600091486
"13",161.60061215519
"14",156.977915767379
"15",150.563953710251
"16",144.448535931343
"17",139.825839543532
"18",135.203143155722
"19",130.281902489692
"20",127.450471771199
"21",75.877865126308
"22",67.9711816780817
"23",63.3484852902713
"24",58.7257889024609
"25",87.4622214898066
"26",84.6307907713139
"27",81.5008157746016
"28",78.669385056109
"29",77.3306757287145
"30",74.2007007320022
"31",72.8619914046077
"32",118.473192334294
"33",117.134483006899
"34",117.288495070603
"35",117.741051412526
"36",119.686329145548
"37",118.347619818153
"38",117.008910490758
"39",115.670201163364
"40",114.630036114189
"41",111.201516839257
"42",109.862807511863
"43",109.718275297347
"44",108.976654526391
"45",60.2402185245867
"46",61.1405912838393
"47",60.2994557534775
"48",61.7471596894661
"49",95.4095728674356
"50",95.6133423108425
"51",96.1654134121722
"52",94.5281598065581
"53",93.7865390356028
"54",92.5971018473181
"55",78.5702606955895
"56",125.077094459935
"57",124.932562245419
"58",125.385118587342
"59",125.837674929265
"60",131.066939722702
"61",133.460033873053
"62",138.241482249161
"63",138.694038591084
"64",137.952417820129
"65",134.225354266977
"66",132.886644939583
"67",131.547935612188
"68",129.313593450135
"69",77.1438982488044
"70",67.4459491312604
"71",64.6145184127678
"72",59.6932777467378
"73",88.7282546122739
"74",85.5982796155616
"75",84.2595702881671
"76",81.4281395696745
"77",80.0894302422799
"78",73.6754681851518
"79",72.3367588577573
"80",121.231946847859
"81",124.669945971979
"82",126.615223705
"83",127.067780046923
"84",127.520336388847
"85",127.67434845255
"86",126.335639125156
"87",123.504208406663
"88",118.582967740633
"89",112.467549961725
"90",109.337574965012
"91",104.714878577202
"92",101.883447858709
"93",50.3108412138181
"94",47.1808662171058
"95",44.3494354986132
"96",43.0107261712187
"97",71.7471587585643
"98",68.9157280400717
"99",67.5770187126771
"100",64.4470437159649
"101",63.1083343885703
"102",61.7696250611758
"103",58.9381943426832
"104",107.534838054566
"105",111.271381456905
"106",113.216659189926
"107",118.445923983363
"108",120.391201716385
"109",125.919010788041
"110",124.580301460647
"111",121.450326463935
"112",118.320351467222
"113",116.981642139828
"114",115.642932812433
"115",116.095489154357
"116",114.756779826962
"117",64.9754388513887
"118",63.6367295239941
"119",60.5067545272819
"120",58.5709566434481
"121",89.397199178302
"122",88.6555784073467
"123",90.6008561403681
"124",90.5558386852586
"125",91.8045131024341
"126",91.0628923314789
"127",89.7241830040844
"128",136.728590565462
"129",129.219966154862
"130",124.796299285865
"131",121.467294770339
"132",121.919851112263
"133",120.581141784868
"134",120.138065292132
"135",119.396444521177
"136",119.8490008631
"137",118.510291535706
"138",117.171582208311
"139",112.548885820501
"140",111.210176493106
"141",61.4288355175331
"142",60.0901261901385
"143",56.9601511934263
"144",55.6214418660317
"145",84.9549630098166
"146",81.2278994566651
"147",82.2775443550276
"148",80.938835027633
"149",77.5103157527011
"150",74.6788850342085
"151",71.3996378983864
"152",118.652832358281
"153",117.314123030886
"154",115.975413703492
"155",114.636704376097
"156",113.297995048702
"157",111.959285721308
"158",113.904563454329
"159",114.357119796253
"160",111.22714479954
"161",103.320461351314
"162",98.6977649635036
"163",94.0750685756932
"164",89.4523721878828
"165",36.3870441518936
"166",33.2570691551813
"167",30.127094158469
"168",27.2956634399764
"169",55.5842796099926
"170",54.6933866999275
"171",51.8619559814349
"172",50.5232466540403
"173",49.1845373266458
"174",46.0545623299335
"175",46.5071186718568
"176",93.6110409926411
"177",93.7650530563447
"178",94.2176093982679
"179",92.8789000708734
"180",93.032912134577
"181",93.4854684765002
"182",93.9380248184234
"183",92.5993154910289
"184",92.6040554156227
"185",91.414618227338
"186",91.8671745692612
"187",90.5284652418667
"188",89.6375723318016
"189",38.9605985215694
"190",36.1291678030767
"191",35.6860913103411
"192",38.0045493911369
"193",72.985533131214
"194",75.5278994206745
"195",85.0362988685931
