"","X","hour","temperature","Date","year","month","day","DayOfWeek","Weekday","PeakHour","Account","tree.pred"
"81",81,2,62,"6/17/2016",2016,6,17,4,1,0,222,"Optimal"
"82",82,3,61,"6/17/2016",2016,6,17,4,1,0,222,"Optimal"
"83",83,4,60,"6/17/2016",2016,6,17,4,1,0,222,"Optimal"
"84",84,5,60,"6/17/2016",2016,6,17,4,1,0,222,"Optimal"
"85",85,6,60,"6/17/2016",2016,6,17,4,1,0,222,"Optimal"
"86",86,7,63,"6/17/2016",2016,6,17,4,1,1,222,"Optimal"
"87",87,8,65,"6/17/2016",2016,6,17,4,1,1,222,"Optimal"
"88",88,9,66,"6/17/2016",2016,6,17,4,1,1,222,"Optimal"
"89",89,10,67,"6/17/2016",2016,6,17,4,1,1,222,"Optimal"
"90",90,11,67,"6/17/2016",2016,6,17,4,1,1,222,"Optimal"
"91",91,12,67,"6/17/2016",2016,6,17,4,1,1,222,"Optimal"
"92",92,13,68,"6/17/2016",2016,6,17,4,1,1,222,"Optimal"
"93",93,14,67,"6/17/2016",2016,6,17,4,1,1,222,"Optimal"
"94",94,15,67,"6/17/2016",2016,6,17,4,1,1,222,"Optimal"
"95",95,16,67,"6/17/2016",2016,6,17,4,1,1,222,"Optimal"
"96",96,17,67,"6/17/2016",2016,6,17,4,1,1,222,"Optimal"
"97",97,18,66,"6/17/2016",2016,6,17,4,1,1,222,"Optimal"
"98",98,19,64,"6/17/2016",2016,6,17,4,1,1,222,"Optimal"
"99",99,20,63,"6/17/2016",2016,6,17,4,1,0,222,"Optimal"
"100",100,21,61,"6/17/2016",2016,6,17,4,1,0,222,"Optimal"
"101",101,22,59,"6/17/2016",2016,6,17,4,1,0,222,"Optimal"
"102",102,23,59,"6/17/2016",2016,6,17,4,1,0,222,"Optimal"
"103",103,0,58,"6/18/2016",2016,6,18,5,0,0,222,"Optimal"
"104",104,1,58,"6/18/2016",2016,6,18,5,0,0,222,"Optimal"
"105",105,2,58,"6/18/2016",2016,6,18,5,0,0,222,"Optimal"
"106",106,3,57,"6/18/2016",2016,6,18,5,0,0,222,"Optimal"
"107",107,4,57,"6/18/2016",2016,6,18,5,0,0,222,"Optimal"
"108",108,5,57,"6/18/2016",2016,6,18,5,0,0,222,"Optimal"
"109",109,6,58,"6/18/2016",2016,6,18,5,0,0,222,"Optimal"
"110",110,7,60,"6/18/2016",2016,6,18,5,0,1,222,"Optimal"
"111",111,8,63,"6/18/2016",2016,6,18,5,0,1,222,"Optimal"
"112",112,9,64,"6/18/2016",2016,6,18,5,0,1,222,"Optimal"
"113",113,10,66,"6/18/2016",2016,6,18,5,0,1,222,"Optimal"
